Rank,University,Total,Winter,Spring,CS:GO,Dota 2,League of Legends,Hearthstone,Overwatch,Rainbow 6,Rocket League,Valorant,Smash (Teams),Smash Singles,TFT,UFG Tekken,GT,F1 2020,Rally
1,University of Warwick,3027,1665,1362,175,463,694,73,277,260,768,258,0,4,23,19,7,6,0
2,University of Southampton,2006,980,1026,591,208,226,17,202,29,302,205,60,91,24,22,16,13,0
3,Staffordshire University,1815,1085,730,348,92,236,0,0,116,366,69,282,265,18,1,5,17,0
4,Lancaster University,1764,830,934,264,340,261,0,156,2,285,328,0,0,0,0,0,128,0
5,University of Portsmouth,1617,806,811,0,212,110,0,433,200,368,278,9,3,4,0,0,0,0
6,University of East Anglia,1562,882,680,28,104,183,0,180,36,358,488,129,41,9,0,0,6,0
7,University of Kent,1542,751,791,309,8,619,0,34,210,159,164,7,15,2,0,4,11,0
8,Loughborough University,1522,814,708,87,3,119,0,101,289,575,235,0,0,5,0,41,67,0
9,Newcastle University,1518,776,742,319,121,299,0,14,333,206,42,26,118,32,0,0,7,1
10,Durham University,1516,801,715,200,180,220,1,93,0,438,26,87,175,41,0,17,38,0
11,Swansea University,1490,694,796,368,48,317,0,0,489,213,25,0,0,6,0,0,4,20
12,University of The West of England,1462,746,716,711,0,162,0,225,0,304,46,0,0,3,0,11,0,0
13,University of Exeter,1457,650,807,112,14,439,14,199,188,105,75,200,100,4,0,0,1,6
14,University of Bath,1442,651,791,468,42,305,0,42,43,323,42,80,97,0,0,0,0,0
15,University of York,1342,665,677,202,10,119,10,330,47,223,393,0,3,5,0,0,0,0
16,University of Bristol,1285,595,690,237,88,190,0,368,46,240,14,1,12,89,0,0,0,0
17,Royal Holloway University of London,1257,775,482,100,24,209,0,153,77,210,224,40,57,11,0,80,54,18
18,University of Nottingham,1254,649,605,64,295,308,17,78,58,225,19,46,72,3,18,21,30,0
19,University of Birmingham,1166,657,509,158,24,130,0,212,30,373,10,33,85,102,9,0,0,0
20,Cardiff University,1118,591,527,165,4,244,0,39,296,152,195,0,0,14,0,0,9,0
21,University of Leeds,1110,721,389,257,112,93,12,141,133,248,72,7,1,0,0,0,34,0
22,University of Surrey,1109,589,520,168,13,468,0,139,0,213,68,0,7,2,3,22,2,4
23,University of Hertfordshire,1105,556,549,178,131,236,0,141,26,55,244,0,0,10,0,64,20,0
24,University of Lincoln,1099,493,606,159,12,510,0,90,80,218,13,0,0,0,7,7,0,3
25,University of Sussex,984,607,377,26,3,213,81,166,113,282,34,0,1,13,0,0,52,0
26,Bournemouth University,983,576,407,345,0,43,1,183,0,382,4,0,1,11,0,0,8,5
27,University College London,957,587,370,0,261,361,0,125,54,0,0,1,4,149,0,0,2,0
28,University of Cambridge,903,413,490,289,16,31,83,234,8,55,37,0,0,128,14,0,8,0
29,De Montfort University,878,546,332,151,26,396,0,0,190,107,0,0,0,4,4,0,0,0
30,Nottingham Trent University,859,518,341,187,22,155,1,23,100,240,20,0,2,0,3,22,64,20
31,Coventry University,833,540,293,317,31,76,0,165,3,53,60,0,8,19,0,101,0,0
32,University of Reading,809,356,453,92,48,230,0,80,130,157,23,0,24,0,25,0,0,0
33,Heriot Watt University,801,425,376,148,11,58,109,0,153,143,179,0,0,0,0,0,0,0
34,Kings College London,799,455,344,229,254,63,44,42,74,0,0,0,0,91,2,0,0,0
35,University of Essex,732,329,403,213,0,44,0,25,97,271,60,0,22,0,0,0,0,0
36,Liverpool John Moores University,726,367,359,198,0,38,0,116,0,190,172,0,12,0,0,0,0,0
37,University of Leicester,703,291,412,6,43,293,0,125,87,97,6,0,20,0,20,6,0,0
38,University of Salford,680,384,296,64,0,198,0,0,0,348,0,30,30,0,0,0,10,0
39,Keele University,658,341,317,63,2,113,0,7,123,335,0,0,0,0,0,0,15,0
40,Imperial College London,623,264,359,109,65,100,0,0,238,62,46,0,0,0,0,0,0,3
41,University of Liverpool,622,339,283,7,30,0,0,72,213,296,0,0,4,0,0,0,0,0
42,FXU (Falmouth & Exeter Student's Union),602,272,330,202,0,36,0,67,6,159,100,0,0,5,0,0,27,0
43,University of Plymouth,585,311,274,0,17,311,56,96,15,77,0,0,0,0,0,8,5,0
44,University of Derby,555,396,159,198,40,55,0,28,72,123,39,0,0,0,0,0,0,0
45,University of Sheffield,525,239,286,212,71,13,0,24,45,23,0,0,15,9,0,102,0,11
46,University of Manchester,518,219,299,20,0,328,0,46,0,53,16,0,0,27,0,24,3,1
47,University of Abertay Dundee,504,274,230,0,0,327,0,43,76,7,0,1,50,0,0,0,0,0
48,London South Bank University,465,205,260,20,0,32,0,2,0,0,29,142,131,14,0,7,63,25
49,University of Brighton,462,262,200,208,0,56,0,0,0,168,0,0,2,28,0,0,0,0
50,Roehampton University,427,194,233,0,0,265,0,0,0,62,96,0,1,3,0,0,0,0
51,University of Hull,410,249,161,0,61,49,0,18,0,0,168,59,52,3,0,0,0,0
52,Leeds Beckett University,392,190,202,62,0,96,0,0,0,230,0,0,4,0,0,0,0,0
53,University of St Andrews,390,264,126,15,58,48,42,166,0,1,39,0,21,0,0,0,0,0
54,Bangor University,386,207,179,23,91,93,0,42,0,56,55,0,8,4,0,0,0,14
55,Sheffield Hallam University,383,276,107,112,0,9,0,0,0,90,155,0,0,0,0,0,17,0
56,Oxford Brookes University,381,102,279,20,0,0,22,0,170,53,116,0,0,0,0,0,0,0
57,Edge Hill University,372,238,134,0,0,11,0,24,103,0,234,0,0,0,0,0,0,0
58,Aston University,363,123,240,69,0,237,0,0,24,0,25,0,0,8,0,0,0,0
59,Northumbria University,343,259,84,0,0,65,31,0,15,84,136,0,12,0,0,0,0,0
59,Brunel University,343,268,75,27,2,33,7,15,31,19,100,18,31,31,0,3,26,0
61,Manchester Metropolitan University,342,217,125,118,0,69,0,0,109,0,46,0,0,0,0,0,0,0
62,University of Chichester,324,173,151,152,0,53,0,4,39,31,0,0,8,9,0,0,28,0
63,Middlesex University,302,144,158,25,0,262,0,0,0,6,0,0,0,9,0,0,0,0
64,Queens University Belfast,278,121,157,109,0,3,0,15,53,18,56,0,13,11,0,0,0,0
65,University of Glasgow,275,95,180,1,24,32,0,110,3,28,17,12,42,6,0,0,0,0
66,University Of Gloucestershire,208,114,94,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Aberystwyth University,191,73,118,0,0,115,6,0,0,70,0,0,0,0,0,0,0,0
68,Birmingham City University,167,158,9,65,0,4,0,17,0,77,2,0,0,2,0,0,0,0
69,University Of Chester,162,104,58,0,0,0,0,0,4,0,88,0,58,0,0,12,0,0
70,Cardiff Metropolitan University,159,38,121,0,0,0,0,0,0,91,68,0,0,0,0,0,0,0
71,York St John University,148,71,77,35,0,31,0,61,0,0,0,6,5,0,0,0,10,0
72,University of Northampton,144,49,95,0,0,67,0,42,0,2,0,0,33,0,0,0,0,0
72,University of Edinburgh,144,97,47,29,0,0,4,47,0,36,0,0,0,28,0,0,0,0
74,University of Sunderland,120,103,17,0,0,10,0,2,69,3,24,0,2,10,0,0,0,0
75,University of Strathclyde,93,0,93,45,0,48,0,0,0,0,0,0,0,0,0,0,0,0
76,University of the Arts London,74,8,66,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
77,Glasgow Caledonian University,73,33,40,4,0,51,0,0,10,0,0,0,0,8,0,0,0,0
78,Teesside University,67,40,27,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
79,London School of Economics,61,0,61,0,52,0,0,0,0,0,0,0,0,9,0,0,0,0
80,Oxford University,45,13,32,0,0,4,12,0,0,29,0,0,0,0,0,0,0,0
81,Robert Gordon University,42,24,18,0,0,0,0,0,0,36,0,0,0,6,0,0,0,0
82,University Of Central Lancashire,36,1,35,0,0,0,0,0,0,0,0,0,30,0,0,6,0,0
83,University of Greenwich,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
83,University Of West London,32,32,0,0,0,0,0,0,18,0,10,4,0,0,0,0,0,0
85,University of Huddersfield,27,27,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0
86,University of Dundee,25,4,21,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0
87,University Of Aberdeen,24,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
88,University of Winchester,23,20,3,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0
88,University of Westminster,23,23,0,0,0,0,0,0,0,0,0,2,7,14,0,0,0,0
90,Leeds Conservatoire,18,13,5,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0
91,School Of Oriental And African Studies,17,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
92,Bath Spa University,15,5,10,0,0,0,0,0,0,10,0,0,2,0,0,0,3,0
93,Ulster University,12,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
93,"City, University Of London",12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
95,Southampton Solent University,8,6,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
96,Anglia Ruskin University,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
97,Wrexham Glyndwr University,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
98,"St George's, University of London",3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
99,University of Bedfordshire,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
99,Queen Margaret University,2,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
